Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,source
1,BUFFER-01,"H_2_CO_3_ is a diprotic acid with a Ka_1_ of 4.5x10^-7^ and for HCO_3_^-^ Ka_2_ of 4.7x10^-11^.

What would be the equilibrium constant for this reaction below?

H_2_CO_3_ ⇄ $2H^+^ + CO_3_^2-^$


",medium,,,,2.12x10^-17^,"H_2_CO_3_ ⇄ 2H^+^ + CO_3_^2-^

Would be the overall reaction for the steps:

H_2_CO_3_ ⇄ H^+^ + HCO_3_^-^
Ka_1_ = 4.5x10^-7^

HCO_3_^-^ ⇄ H^+^ + CO_3_^2-^
Ka_2_ = 4.7x10^-11^

To know the overall equilibrium constant for any multistep reversible reaction, you can multiply the individual constants like this:

K = 4.5x10^-7^x4.7x10^-11^
K = 2.12x10^-17^",,4.5x10^-7^,This would just be the same acid constant for the first step of the overall reaction.,,4.7x10^-11^,This would just be the same acid constant for the second step of the overall reaction.,,Cannot be determined with this information,It can be determined with the information. Try analyzing the steps that compose the overall reaction.,,Question 31. AP College Board 1994
2,BUFFER-02,Which would be the concentration of hydroxide ions for a $0.08 M$ solution of a weak base NaCN (The Kb for CN^-^ is 2.0 x10^-5^),easy,,,,[OH^-^] = 1.26x10^-3^ M,"The dissociation of the weak base CN^-^ in water would go as follows (consider that NaCN as a soluble salt dissociates entirely in water):

CN^-^ + H_2_O ⇄ HCN + OH^-^

Considering ""X"" as the amount of CN^-^ that attracts the H^+^ ions from water, we can write the Kb expression for this weak acid as:

Kb = [HCN][OH^-^]/[CN^-^]
Kb = (X)(X)/(0.08 - X)

Since X is a very small number, we can assume $(0.08 - X)$ as 0.08. Solving for X: $X = √[CN^-^]Kb$ Replacing the values:

X = √(0.08 x 2x10^-5^)
X = 1.26x10^-3^ M

This is also the concentration of hydroxide ions that are now dissolved in the solution.",,[OH^-^] = 0.08 M,This would be the concentration of OH^-^ ions if it was a strong base instead.,,[OH^-^] = 1.6x10^-6^ M,This is not the value of the hydroxide concentration.,,[OH^-^] = 2.0 x10^-5^ M,This is just the Kb value of the weak base.,,Question 45. AP College Board 1999
3,BUFFER-03,"A student prepares 2 solutions of NaOH (strong base). One of them is a $450 mL$ solution at a concentration of $0.120 M$ and the other one is a $200 mL$ solution at a concentration of 0.200 M.

The student proceeds to mix both solutions at add water until it reaches $1 L$. What would be the pH of said mixture?",medium,,,,13.0,"In a $450 mL$ solution of $0.120 M NaOH$, we can determine how many moles of NaOH (or OH^-^ which are the same because it's a strong base) are present initially:

Moles of OH^-^ = 0.450 x 0.120
Moles of OH^-^ = 0.054 moles

In the other $200 mL$ solution of $0.200 M NaOH$, we can do the same thing:

Moles of OH^-^ = 0.200 x 0.200
Moles of OH^-^ = 0.040 moles

When mixed together, there is a total amount of moles of:

Total Moles = 0.054 + 0.040
Total Moles = 0.094 moles

These moles, after adding the water, are in a $1 L$ solution, making up for a concentration of OH^-^ ions of $0.094 M$. Given the pH equation: $pH = 14 -(-log([H^+^]))$, let's just replace

pH = 14 - (-log(0.094))
pH = 13.0",,13.2,Remember that the student adds water after mixing both solutions.,,1.0,"For a strong base solution, a pH of 1.0 wouldn't make sense since it should be a very basic solution.",,0.8,"For a strong base solution, a pH of 0.8 wouldn't make sense since it should be a very basic solution. Also take into account the student adds more water after mixing both solutions.",,Question 59. AP College Board 1999
4,BUFFER-04,"Consider the following reaction:

HA + B^-^  ⇄ HB + A^-^
Keq = 2.1x10^-11^

In which HA and HB are weak acids and B^-^ and A^-^ are weak bases. What statement is true about these compounds?",medium,,,,"In terms of strength:
HB > HA
A^-^ > B^-^","With a equilibrium constant so small as 2.1x10^-11^, it can be assumed that when at equilibrium the reverse reaction is the one that's more favored. This implies that HB is a stronger acid than HA and A^-^ is a stronger base than B^-^.",,"In terms of strength:
HA > HB
A^-^ > B^-^",HA is not a stronger acid than HB given the equilibrium constant of the reaction.,,"In terms of strength:
HB > HA
B^-^ > A^-^",B^-^ is not a stronger base than A^-^ given the equilibrium constant of the reaction.,,"In terms of strength:
HA > HB
B^-^ > A^-^",Try taking into account what the equilibrium constant value should mean in terms of which reaction (forward or reverse) is favored at equilibrium.,,Question 62. AP College Board 1999
5,BUFFER-05,"If you were to prepare a buffer, which pair of substances would you mix in equimolar quantities?",medium,,,,HF and NaF,"Since HF a weak acid and F^-^ its conjugate base, mixing both in equimolar quantities will result in a buffer solution (it will resist the change on pH).",,HClO_3_ and KClO_3_,"Since HClO_3_ is a strong acid, it doesn't matter what you mix it with, it'll dissociate entirely and make an acid solution and not a buffer.",,HI and NaI,"Since HI is a strong acid, it doesn't matter what you mix it with, it'll dissociate entirely and make an acid solution and not a buffer.",,NaOH and NaCl,"NaOH is a strong base while NaCl is a soluble salt without ions that would alter the pH when in water, so a mix of both would just result in a very basic solution and not a buffer.",,Question 63. AP College Board 2002
6,BUFFER-06,"Consider a hypothetical weak acid H_2_A that is a diprotic acid with a Ka_1_ of 3.2x10^-6^ and for HA^-^ Ka_2_ of 2.9x10^-8^.

The overall dissociation of the acid could be written as:

H_2_A ⇄ A^2-^ + 2H^+^

What would be true about a $0.1 M$ solution of this weak acid?


",hard,,,,[H_2_A] > [H^+^] > [HA^-^] > [A^2-^],"The steps for the overall reaction are:

H_2_A ⇄ HA^-^ + H^+^
HA^-^ ⇄ A^2-^ + H^+^

Without needing to make calculations, we know that a weak acid only dissociates a little, so from the get-go H_2_A should be the substance with higher concentration in the solution. Since the H^+^ is present in both steps as a product, its concentration should be the second highest.

For diprotic acids, the first step is more favored towards its products than the second step, and by looking at the Ka of each step we can determine that [HA^-^] should be higher than [A^2-^], especially since this last one is a product of the dissociation of the HA^-^. ",,[H_2_A] > [HA^-^] > [H^+^] > [A^2-^],[H^+^] should be higher than [HA^-^] given how the H^+^ ions are produced in both steps while the acid HA^-^ gets dissociated in the second step of the reaction.,,[A^2-^] > [H^+^] > [HA^-^] > [H_2_A],[A^2-^] is actually the lowest concentration because it's only a product of a small dissociation of HA^-^ in the second step.,,[H^+^] > [H_2_A] > [HA^-^] > [A^2-^],[H_2_A] is actually the highest concentration because only small parts of weak acids get dissociated into their ions so [H^+^] couldn't possibly be higher.,,Question 64. AP College Board 2002
7,BUFFER-07,A student wants to prepare a solution of $500 mL$ $0.500 M$ of NaOH with another concentrated solution of $2.0 M of NaOH$. How much of the concentrated solution will the student need?,easy,,,,125 mL,"Let's first determine the moles of NaOH that would be present in the desired solution:

Moles of NaOH = [NaOH] x Volume of Solution
Moles of NaOH = 0.500 x 0.500
Moles of NaOH = 0.25 moles

To get that amount of moles from the concentrated solution we calculate the volume instead:

Volume Needed = Moles of NaOH/[NaOH]_c_
Volume Needed = 0.25/2.0
Volume Needed = 0.125 mL

The student then completes the solution with water until it reaches $500 mL$.",,500 mL,This would just be the total volume of the desired solution.,,375 mL,This amount of concentrated solution would result in a much more concentrated solution than the desired one.,,1 L,This would be way too much concentrated solution and it's even higher than the max amount of $500 mL$.,,Question 38. AP College Board 2008
8,BUFFER-08,"HClO is a weak acid for which pKa=7.5. Each of the buffer mixtures below are made with equal volumes, and the concentrations listed. Which of the following mixtures will have the highest pOH value?",hard,,,,[HClO] = 1.0 [KClO] = 0.010,.,,[HClO] = 9.0 [KClO] = 9.0,.,,[HClO] = 0.10 [KClO] = 1.0,.,,[HClO] = 1.0 [KClO] = 0.10,.,,Question Albert.io The Buffer with the Highest pOH
9,BUFFER-09,Which of the following combinations of equimolar substances could make a buffer?,easy,,,,NH4Cl and NH3,.,,HNO2 and NaNO3,.,,HCl and NaCl,., ,NaOH and HCl,.,,Question Albert.io Making Buffers
10,BUFFER-10,A 50.0 mL solution of NH3 has a pH of 10.2. Drops of HCl are added to the solution. Which of the following should be added to the solution of NH3(aq) in order to keep the pH at 10.2?,hard,,,,NH2-(aq),.,,NaCl(s),.,,HNO3(aq),.,,NH4Cl,.,,Question Albert.io Making a Buffered Solution
